Set	Item	Addition	Subtraction	Disjuncitve Union	Intersection	Rotation	Completeness	Rules	mean	r.drop	b	a	Item Solution	Complete Item Code
1	1	1	0	0	0	0	0	1	0.95	0.48	-1.28	2.48	11110000000000000000	10000000000000000000,00100000000000000000,10100000000000000000,00010000000000000000,01000000000000000000,01010000000000000000,10100000000000000000,01010000000000000000,11110000000000000000
1	2	0	1	0	0	0	0	1	0.95	0.41	-1.49	2.04	00000000110100000000	00000000111100000000,00000000010000000000,00000000101100000000,00000000111100000000,00000000000100000000,00000000111000000000,00000000111100000000,00000000001000000000,00000000110100000000
2	3	0	0	1	0	0	0	1	0.18	0.34	1.43	1.14	00001010000000000000	00001010000000000000,00000010000000000000,00001000000000000000,00000101000000000000,00000001000000000000,00000100000000000000,00001100000000000000,00000110000000000000,00001010000000000000
2	4	0	0	0	1	0	0	1	0.9	0.34	-2.84	1.04	00000011000000000000	00001111000000000000,00001100000000000000,00001100000000000000,00001111000000000000,00001010000000000000,00001010000000000000,00001111000000000000,00000011000000000000,00000011000000000000
3	5	0	0	0	0	1	0	1	0.91	0.31	-2.5	1.09	00010000000000000000	10000000000000000000,01000000000000000000,00100000000000000000,00100000000000000000,00010000000000000000,10000000000000000000,01000000000000000000,00100000000000000000,00010000000000000000
3	6	0	0	0	0	0	1	1	0.95	0.23	-3.38	1	00000000000010000000	00000000000010000000,00000000000001000000,00000000000000100000,00000000000000100000,00000000000010000000,00000000000001000000,00000000000001000000,00000000000000100000,00000000000010000000
4	7	1	0	0	0	0	0	1	0.98	0.34	---	---	00000000000000000101	00000000000000001000,00000000000000000010,00000000000000001010,00000000000000000010,00000000000000000001,00000000000000000011,00000000000000000100,00000000000000000001,00000000000000000101
4	8	0	1	0	0	0	0	1	0.58	0.39	-0.01	1.17	00001011000000000000	00001111000000000000,00001100000000000000,00000011000000000000,00001111000000000000,00000011000000000000,00001100000000000000,00001111000000000000,00000100000000000000,00001011000000000000
5	9	0	0	1	0	0	0	1	0.88	0.5	-1.36	2.09	00000000000000000110	00000000000000001000,00000000000000001110,00000000000000000110,00000000000000000010,00000000000000001010,00000000000000001000,00000000000000000001,00000000000000000111,00000000000000000110
5	10	0	0	0	1	0	0	1	0.81	0.42	-1.24	1.32	01000000000000000000	10100000000000000000,00110000000000000000,00100000000000000000,01010000000000000000,11000000000000000000,01000000000000000000,01100000000000000000,11000000000000000000,01000000000000000000
6	11	0	0	0	0	1	0	1	0.96	0.25	-3.25	1.13	00000000010000000000	00000000010000000000,00000000001000000000,00000000000100000000,00000000001000000000,00000000000100000000,00000000100000000000,00000000000100000000,00000000100000000000,00000000010000000000
6	12	0	0	0	0	0	1	1	0.96	0.18	-4.08	0.84	00000000000000010000	00000000000000100000,00000000000000010000,00000000000010000000,00000000000000010000,00000000000010000000,00000000000000100000,00000000000010000000,00000000000000100000,00000000000000010000
7	13	1	0	0	0	0	0	1	0.77	0.34	-1.05	1.1	00001010000000000000	00000100000000000000,00000010000000000000,00000110000000000000,00000001000000000000,00001000000000000000,00001001000000000000,00000010000000000000,00001000000000000000,00001010000000000000
7	14	0	1	0	0	0	0	1	0.89	0.41	-1.39	1.65	01000000000000000000	11110000000000000000,00110000000000000000,11000000000000000000,11100000000000000000,00100000000000000000,11000000000000000000,01010000000000000000,00010000000000000000,01000000000000000000
8	15	0	0	1	0	0	0	1	0.74	0.54	-0.36	1.64	00000000000000001010	00000000000000000110,00000000000000001001,00000000000000001111,00000000000000001010,00000000000000001101,00000000000000000111,00000000000000001101,00000000000000000111,00000000000000001010
8	16	0	0	0	1	0	0	1	0.73	0.61	-0.19	2	00000000001000000000	00000000011000000000,00000000110000000000,00000000010000000000,00000000101100000000,00000000011100000000,00000000001100000000,00000000011000000000,00000000101100000000,00000000001000000000
9	17	0	0	0	0	1	0	1	0.86	0.35	-2.17	1.29	00000000000000001100	00000000000000000110,00000000000000000011,00000000000000001001,00000000000000001101,00000000000000001110,00000000000000000111,00000000000000000011,00000000000000001001,00000000000000001100
9	18	0	0	0	0	0	1	1	0.73	0.01	-8.98	0.11	00000000000000010000	00000000000010000000,00000000000000100000,00000000000000010000,00000000000000010000,00000000000000100000,00000000000010000000,00000000000000100000,00000000000010000000,00000000000000010000
10	19	1	0	0	0	0	0	1	0.78	0.31	-0.55	1.29	00000000110000000000	00000000101000000000,00000000010000000000,00000000111000000000,00000000001100000000,00000000110000000000,00000000111100000000,00000000100000000000,00000000010000000000,00000000110000000000
10	20	0	1	0	0	0	0	1	0.94	0.5	-0.79	3.16	00001100000000000000	00001111000000000000,00000001000000000000,00001110000000000000,00001010000000000000,00001000000000000000,00000010000000000000,00001110000000000000,00000010000000000000,00001100000000000000
1	21	1	1	0	0	0	0	2	0.84	0.47	-0.73	1.74	01000000111100000000	10100000001000000000,00100000100000000000,10000000101000000000,01010000010100000000,01000000100000000000,00010000110100000000,01100000111000000000,00100000000100000000,01000000111100000000
1	22	1	0	1	0	0	0	2	0.64	0.48	0.13	1.9	00001010010100000000	00001100100000000000,00001110001000000000,00000010101000000000,00001001001000000000,00000111100000000000,00001110101000000000,00000110010000000000,00001100000100000000,00001010010100000000
1	23	1	0	0	1	0	0	2	0.82	0.46	-0.64	1.7	10000101000000000000	11001000000000000000,10000100000000000000,10001100000000000000,01010010000000000000,00010100000000000000,00010110000000000000,10100001000000000000,10000100000000000000,10000101000000000000
1	24	1	0	0	0	1	0	2	0.85	0.41	-0.96	1.43	00001000000000000101	00001000000000001000,00000100000000000001,00000010000000001001,00000100000000000010,00000010000000000100,00000001000000000110,00000010000000000001,00000001000000000100,00001000000000000101
1	25	1	0	0	0	0	1	2	0.84	0.28	-1.28	1.02	00001010000001000000	00001000000001000000,00000010000000100000,00001010000000010000,00000100000000010000,00000001000001000000,00000101000000100000,00000010000000100000,00001000000000010000,00001010000001000000
2	26	0	1	1	0	0	0	2	0.4	0.53	0.25	1.39	00001101010100000000	00001100111100000000,00001110110100000000,00000010001000000000,00000110111100000000,00001011011000000000,00001101100100000000,00000011111100000000,00001110101000000000,00001101010100000000
2	27	0	1	0	1	0	0	2	0.68	0.42	-1.26	0.89	00100011000000000000	10101111000000000000,00110010000000000000,00101101000000000000,01011111000000000000,01100110000000000000,01001001000000000000,10101111000000000000,01101100000000000000,00100011000000000000
2	28	0	1	0	0	1	0	2	0.72	0.57	-1.14	1.54	11101001000000000000	11111100000000000000,00100110000000000000,11010011000000000000,11111001000000000000,10001100000000000000,01110110000000000000,11110110000000000000,00010011000000000000,11101001000000000000
2	29	0	1	0	0	0	1	2	0.65	0.46	-0.94	1.08	11110100000000000000	11111111000000000000,00000111011000000000,00001000000000010000,00001111000000010000,11111110000000000000,00000001011000000000,00001111011000000000,00001011000000010000,11110100000000000000
2	30	0	0	1	1	0	0	2	0.48	0.6	-0.1	1.63	00001010100000000000	00000110101000000000,00000100011000000000,00000010001000000000,00000011001100000000,00000110100100000000,00000101000100000000,00000110110000000000,00001100101100000000,00001010100000000000
3	31	0	0	1	0	1	0	2	0.46	0.5	0.37	1.28	01101101000000000000	11000011000000000000,00110110000000000000,11111100000000000000,11101100000000000000,01101001000000000000,10000011000000000000,01010111000000000000,00111110000000000000,01101101000000000000
3	32	0	0	1	0	0	1	2	0.57	0.63	-0.05	1.69	00001010000000100000	00000110000000100000,00001110000000010000,00001000000000100000,00001111000000100000,00001111000000100000,00000000000000010000,00001101000000010000,00000111000000100000,00001010000000100000
3	33	0	0	0	1	1	0	2	0.45	0.56	0.38	1.51	00000000001100000010	00000000111100000010,00000000100000000100,00000000100000001000,00000000011000000001,00000000100100000010,00000000000000000100,00000000011100001000,00000000001100000001,00000000001100000010
3	34	0	0	0	1	0	1	2	0.21	0.39	1.44	1.46	00010101000000000000	10001111000000000000,00101100000000000000,00011100000000000000,10000111000000000000,00011001000000000000,00100001000000000000,00100101000000000000,10000111000000000000,00010101000000000000
3	35	0	0	0	0	1	1	2	0.74	0.27	-1.7	0.62	11000000000000100000	11000000000000100000,01100000000001000000,00110000000000010000,11010000000000010000,11100000000001000000,01110000000000100000,00110000000001000000,10010000000000010000,11000000000000100000
4	36	1	1	0	0	0	0	2	0.8	0.52	-0.71	1.8	00000000010000001100	00000000110000001000,00000000010000000010,00000000100000001010,00000000110100000010,00000000100100000001,00000000010000000011,00000000111100000100,00000000101100001000,00000000010000001100
4	37	1	0	1	0	0	0	2	0.71	0.5	-0.37	1.63	00000011111100000000	00001111110000000000,00000110100100000000,00001001110100000000,00001110001100000000,00001011011000000000,00000101011100000000,00001100010100000000,00001111101000000000,00000011111100000000
4	38	1	0	0	1	0	0	2	0.74	0.46	-0.55	1.53	00001111010000000000	00001010101000000000,00000100110000000000,00001110100000000000,00000101001100000000,00001000011000000000,00001101001000000000,00001100110000000000,00000011010000000000,00001111010000000000
