# InSight catalogue art credits — GENERATED by scripts/build-catalog-art.mjs athletes, do not edit.
# One row per image under web/catalog-art/athletes/:
# key<TAB>file<TAB>name<TAB>author<TAB>licence<TAB>source
# The key is the catalogue key (public/athletes.txt); the file is what
# hosting serves; author and licence are what the licence requires shown
# beside the picture, which the app's credits sheet draws from this file.
# A takedown is `node scripts/build-catalog-art.mjs athletes --remove <key>` (D420).
# 632 entries.
615	615.webp	Lionel Messi	Bryan Berlin	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Leo_Messi_Argentina_v_Egypt_7_July_2026-1.jpg
624	624.webp	Alessandro Del Piero	Retouched by Blackcat	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Alessandro_Del_Piero%2C_New_York_NY_2015.jpg
1189	1189.webp	Usain Bolt	Fernando Frazão/Agência Brasil	CC BY 3.0 br	https://commons.wikimedia.org/wiki/File:Usain_Bolt_Rio_100m_final_2016k.jpg
1426	1426.webp	Roger Federer	si.robi	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Federer_WM16_(37)_(28136155830).jpg
1835	1835.webp	Zinedine Zidane	Hadi Abyar	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Zinedine_Zidane_by_Tasnim_03.jpg
1839	1839.webp	Laurent Blanc	Julien Manceau	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Laurent_blanc_11_11_2013_reves_de_Clara.jpg
1894	1894.webp	Memphis Depay	Derivative work: Joe Sins	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Memphis_Depay_2019.jpg
1907	1907.webp	Hugo Lloris	Кирилл Венедиктов	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Lloris_2018_(cropped).jpg
1909	1909.webp	Adil Rami	Stanislav Vedmid	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Adil_Rami_20120611.jpg
1911	1911.webp	Olivier Giroud	Антон Зайцев	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Olivier_Giroud_2018.jpg
1912	1912.webp	Karim Benzema	Zack	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Karim_Benzema_Pick.jpg
1913	1913.webp	Florent Malouda	Stanislav Vedmid	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Malouda2012.JPG
1916	1916.webp	Patrice Evra	Web Summit	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Patrice_Evra_(52472689279)_(cropped).jpg
1918	1918.webp	Franck Ribéry	Sven Mandel	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Franck_Ribery_2019_(cropped).jpg
1920	1920.webp	Samir Nasri	Станислав Ведмидь/Stanislav Vedmid'/Stanisław Wiedmid'	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Samir_Nasri_Euro_2012.jpg
1921	1921.webp	Blaise Matuidi	Илья Хохлов	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Matuidi_PSG.jpg
1935	1935.webp	Eric Abidal	Mutari 16:30, 5 March 2008 (UTC)	Public domain	https://commons.wikimedia.org/wiki/File:%C3%89ric_Abidal_-_001.jpg
1938	1938.webp	Bacary Sagna	Doha Stadium Plus Qatar from Doha, Qatar	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Bacary_Sagna_2012.jpg
1939	1939.webp	Nicolas Anelka	Amarhgil	Attribution	https://commons.wikimedia.org/wiki/File:Nicolas_Anelka_4720.jpg
2069	2069.webp	Juan Manuel Fangio	Unknown authorUnknown author	Public domain	https://commons.wikimedia.org/wiki/File:Juan_Manuel_Fangio_(circa_1952).jpg
2086	2086.webp	Alberto Ascari	El Gráfico	Public domain	https://commons.wikimedia.org/wiki/File:Alberto_Ascari_-_El_Gr%C3%A1fico_1587.jpg
2125	2125.webp	Jack Brabham	Lothar Spurzem	CC BY-SA 2.0 de	https://commons.wikimedia.org/wiki/File:BrabhamJack1966B.jpg
2172	2172.webp	Lance Armstrong	Paul Coster	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Lance_Armstrong_(Tour_Down_Under_2009).jpg
2339	2339.webp	Robin van Persie	Елена Рыбакова	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Loco-Fener_(10).jpg
3188	3188.webp	Jackie Stewart	unknown author	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Jackie_Stewart_speaking.jpg
3910	3910.webp	Albert II, Prince of Monaco	https://www.flickr.com/photos/unfccc/ Unclimaitechange	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Prince_Albert_II_2016.jpg
4203	4203.webp	Felix Baumgartner	12. Internationale Sportnacht Davos from Davos, Schweiz	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:12._Internationale_Sportnacht_Davos_2014_(15409745296)_(cropped).jpg
4457	4457.webp	Franz Beckenbauer	Panini Group	Public domain	https://commons.wikimedia.org/wiki/File:Franz_Beckenbauer_(1975).jpg
4462	4462.webp	Joachim Löw	Granada	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:20180602_FIFA_Friendly_Match_Austria_vs._Germany_Jogi_L%C3%B6w_850_1386.jpg
4599	4599.webp	Raúl Albiol	Rolandhino1	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:UEFA_EURO_qualifiers_Sweden_vs_Spain_20191015_136_(cropped).jpg
5812	5812.webp	Novak Djokovic	Andymiah	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Novak_Djokovic_Paris_2024_Olympic_Games_(cropped).jpg
6319	6319.webp	Yelena Isinbayeva	Russian Presidential Press and Information Office	CC BY 4.0	https://commons.wikimedia.org/wiki/File:%D0%95%D0%BB%D0%B5%D0%BD%D0%B0_%D0%98%D1%81%D0%B8%D0%BD%D0%B1%D0%B0%D0%B5%D0%B2_%D0%B2_%D0%9A%D1%80%D0%B5%D0%BC%D0%BB%D0%B5.jpg
7407	7407.webp	Andre Agassi	Shinya Suzuki from New York, U.S.A.	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Andre_Agassi_(2011).jpg
9446	9446.webp	Pete Sampras	Craig ONeal	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Pete_Sampras_(2008)_1%2C_cropped.jpg
9488	9488.webp	Sachin Tendulkar	Bollywood Hungama	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Sachin_at_Castrol_Golden_Spanner_Awards_(crop).jpg
9671	9671.webp	Michael Schumacher	Original: Aécio Neves – Wellington Pedro/Imprensa MG / Derivative work: F1fans, FMSky	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Michael_Schumacher%2C_September_2005.jpg
10068	10068.webp	Lindsey Vonn	Stefan Brending (2eight)	CC BY-SA 3.0 de	https://commons.wikimedia.org/wiki/File:2017_Audi_FIS_Ski_Weltcup_Garmisch-Partenkirchen_Damen_-_Lindsey_Vonn_-_by_2eight_-_8SC8048.jpg
10118	10118.webp	Victoria Azarenka	Carine06 from UK	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Victoria_Azarenka_(41705054005).jpg
10125	10125.webp	Andy Murray	Brendan Dennis	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:2015_Australian_Open_-_Andy_Murray_12_(cropped).jpg
10132	10132.webp	Rafael Nadal	Barcex	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Rafael_Nadal_en_2024_(cropped).jpg
10490	10490.webp	Ayrton Senna	File:Ayrton Senna 2.jpg: Instituto Ayrton Senna derivative work: F1fans	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Ayrton_Senna_Pesawat_RC_Cropped.jpg
10494	10494.webp	Alain Prost	Thesupermat	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Festival_automobile_international_2015_-_Photocall_-_065_(cropped).jpg
10505	10505.webp	Damon Hill	Original: Martin Lee from London, UK / Derivative work: Danyele	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Damon_Hill_in_the_paddock_before_the_1993_British_Grand_Prix_(32873541593)_(cropped).jpg
10510	10510.webp	Jenson Button	Engyles	CC BY 2.0	https://commons.wikimedia.org/wiki/File:2018_British_Grand_Prix_-_Jenson_Button_(08).jpg
10514	10514.webp	Fernando Alonso	Off The Track Media	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Fernando_Alonso_racing_at_the_2024_F1_in_Schools_World_Finals_(cropped).jpg
10520	10520.webp	David Beckham	Soccer Aid for Unicef	CC BY 3.0	https://commons.wikimedia.org/wiki/File:David_Beckham_UNICEF_(cropped).jpg
10524	10524.webp	Ryan Giggs	James Adams	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Ryan_Giggs_in_2008.jpg
10560	10560.webp	Freddie Ljungberg	Ricardo Alvarez	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Fredrik_Ljungberg_2006.jpg
10602	10602.webp	Ashley Young	Кирилл Венедиктов	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Ashley_Young_2018-06-13_1.jpg
10993	10993.webp	Tiger Woods	The White House from Washington, DC	Public domain	https://commons.wikimedia.org/wiki/File:Tiger_Woods_in_May_2019.jpg
11192	11192.webp	Kimi Räikkönen	Zach Catanzareti Photo	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Kimi_raikkonen_(52780844274)_(cropped).jpg
11459	11459.webp	Serena Williams	Edwin Martinez	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Serena_Williams_at_2013_US_Open.jpg
11571	11571.webp	Cristiano Ronaldo	Bryan Berlin	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Cristiano_Ronaldo_Croatia_v_Portugal_2_July_2026-075_(cropped).jpg
11576	11576.webp	Raúl	Doha Stadium Plus Qatar	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Raul_Gonzalez_2012_2.jpg
11578	11578.webp	Venus Williams	Tatiana from Moscow, Russia	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Venus_Williams_(14948553428).jpg
11584	11584.webp	Iker Casillas	Зайцев Антон	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Iker_Casillas_2.jpg
11662	11662.webp	Steffi Graf	Steffi_Graf_in_Hamburg.jpg: Mark Henckel from Hamburg-Altona, Deutschland (http://sommer-in-hamburg…	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Steffi_Graf_in_Hamburg_2010_(cropped).jpg
11666	11666.webp	Maria Sharapova	Tourism Victoria	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Sharapova2016.jpg
11677	11677.webp	Lindsay Davenport	Donna & Keith	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Davenport_Lindsay.jpg
11682	11682.webp	Justine Henin	unknown author	Copyrighted free use	https://commons.wikimedia.org/wiki/File:Justine_Henin.JPG
11685	11685.webp	Kim Clijsters	User:Vegafi	CC0	https://commons.wikimedia.org/wiki/File:Kim_Clijsters_2011_crop2.jpg
11948	11948.webp	Michael Ballack	Die Bildermacherei Cuxhaven, Kerstin Tietje	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:10._Tag_der_Legenden_2014_69.jpg
12897	12897.webp	Pelé	Unknown authorUnknown author	Public domain	https://commons.wikimedia.org/wiki/File:Pele_con_brasil_(cropped).jpg
12984	12984.webp	Stephan El Shaarawy	Clément Bucco-Lechat	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:20150616_-_Portugal_-_Italie_-_Gen%C3%A8ve_-_Stephan_El_Shaarawy_(cropped).jpg
13308	13308.webp	Samuel Umtiti	Антон Зайцев	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Samuel_Umtiti_2018.jpg
14286	14286.webp	Chris Evert	unknown, Florida Memory	Public domain	https://commons.wikimedia.org/wiki/File:Chris_Evert.jpg
15199	15199.webp	Jack Wilshere	--Steindy (talk) 16:09, 29 August 2019 (UTC)	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Jack_Wilshere_-_Hertha_BSC_vs._West_Ham_United_(20190731).jpg
15269	15269.webp	Jelena Janković	Tatiana from Moscow, Russia	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Jelena_Jankovi%C4%87_2015.jpg
16474	16474.webp	John McEnroe	Charlie Cowins	CC BY 2.0	https://commons.wikimedia.org/wiki/File:John_McEnroe_at_the_2009_US_Open_01a_(cropped).jpg
17158	17158.webp	Carles Puyol	Pedro J Pacheco	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Premios_Goya_2020_-_Carles_Pujol.jpg
17163	17163.webp	Johan Cruyff	Nationaal Archief	CC BY-SA 3.0 nl	https://commons.wikimedia.org/wiki/File:Johan_Cruyff_in_trainingspak_Nederlands_Elftal_%2C_kop.jpg
17493	17493.webp	Thiago Alcântara	Rolandhino1	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:UEFA_EURO_qualifiers_Sweden_vs_Spain_20191015_Thiago_Alcantara_13_(cropped).jpg
17499	17499.webp	Cesc Fàbregas	Web Summit	CC BY 2.0	https://commons.wikimedia.org/wiki/File:2023_-_Cesc_Fabregas_(cropped).jpg
17500	17500.webp	Xavi Hernández	Mehdi Zare	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Xavi_13981129001173637176666027076571.jpg
17507	17507.webp	Gerard Piqué	Vinod Divakaran	CC BY 2.0	https://commons.wikimedia.org/wiki/File:GerardPique.jpg
17515	17515.webp	Diego Maradona	Unknown authorUnknown author	Public domain	https://commons.wikimedia.org/wiki/File:Argentina_celebrando_copa_(cropped).jpg
18962	18962.webp	Adrien Rabiot	Bryan Berlin	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Adrien_Rabiot_France_v_Senegal_16_June_2026-371_(cropped).jpg
18976	18976.webp	Ole Gunnar Solskjær	Tor Atle Kleven	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Ole_Gunnar_Solskjaer_Trondheim2011-1_crop.jpg
19497	19497.webp	Oscar	Ailura	CC BY-SA 3.0 at	https://commons.wikimedia.org/wiki/File:20141118_AUTBRA_5023.jpg
20110	20110.webp	Francesco Totti	Photojournalist Roberto Vicario derivative work: Clarus The Dogcow (talk)	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Francesco_Totti_Vicario_(crop).jpg
20469	20469.webp	Alan Dzagoev	Антон Зайцев	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:CSKA-RM18_(14).jpg
22102	22102.webp	Larisa Latynina	Пресс-служба Президента России	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Larisa_Latynina%2C_2010.jpg
25369	25369.webp	Kobe Bryant	Kobe_Bryant_8.jpg: *Kobe_Bryant_7144.jpg: Sgt. Joseph A. Lee derivative work: JoeJohnson2 (talk) de…	Public domain	https://commons.wikimedia.org/wiki/File:KBryant8.jpg
26069	26069.webp	Klaas-Jan Huntelaar	xtranews.de	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Klaas-Jan_Huntelaar_2011.jpg
26517	26517.webp	Luis Suárez	Bryan Berlin	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Luis_Su%C3%A1rez_NE_Revolution_Inter_Miami_7.9.25-053_(cropped).jpg
26580	26580.webp	Antonio Conte	Clément Bucco-Lechat	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:20150616_Antonio_Conte.jpg
27694	27694.webp	Emre Can	Sandro Halank, Wikimedia Commons	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:2023-08-12_TSV_Schott_Mainz_gegen_Borussia_Dortmund_(DFB-Pokal_2023-24)_by_Sandro_Halank%E2%80%93148_(cropped).jpg
28614	28614.webp	Garry Kasparov	Lukasz Kobus	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Garry_Kasparov_European_Union_2023_(cropped).jpg
29162	29162.webp	Tomáš Rosický	joshjdss	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Arsenal_Vs_Burnley_(24618630252).jpg
29491	29491.webp	Chris Smalling	Дмитрий Голубович	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:CSKA-MU_2017_(15).jpg
29516	29516.webp	Theo Walcott	Armanamirahmadi	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Theo_walcott.jpg
29545	29545.webp	Kevin Durant	Keith Allison	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Kevin_Durant_Feb_2014.jpg
29566	29566.webp	Michael Carrick	Timmy96	CC0	https://commons.wikimedia.org/wiki/File:Michael_Carrick_12042025_(5)_(cropped).jpg
30758	30758.webp	Ana Ivanovic	Tatiana from Moscow, Russia	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Ana_Ivanovi%C4%87_(14948461930).jpg
30767	30767.webp	Caroline Wozniacki	Keith Allison from Hanover, MD, USA	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:2016_Citi_Open_Caroline_Wozniacki_(28300404642).jpg
30812	30812.webp	Petra Kvitová	Peter Menzel	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Petra_Kvitov%C3%A1_Maud_Watson_trophy_2018.jpg
31683	31683.webp	Dwyane Wade	Flickr user Keith Allison	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Dwyane_Wade_e1.jpg
31919	31919.webp	Vitali Klitschko	Sven Teschke	CC BY-SA 3.0 de	https://commons.wikimedia.org/wiki/File:2014-09-12_-_Vitali_Klitschko_-_9019_(cropped).jpg
31981	31981.webp	David Alaba	Granada	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:20180610_FIFA_Friendly_Match_Austria_vs._Brazil_David_Alaba_850_1632.jpg
33228	33228.webp	Nadia Comăneci	Unknown (Comitetul Olimpic si Sportiv Roman)	Public domain	https://commons.wikimedia.org/wiki/File:Nadia_Com%C4%83neci_Moscow1980.jpeg
33817	33817.webp	Edmund Hillary	Mariusz Kubik, http://www.mariuszkubik.pl	CC BY 2.5	https://commons.wikimedia.org/wiki/File:Edmund_Hillary_by_Kubik_2004.jpg
34276	34276.webp	Garbiñe Muguruza	Barcex	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Garbi%C3%B1e_Muguruza_-_240422_182724-2_(cropped).jpg
36107	36107.webp	Muhammad Ali	Bernard Gotfryd	Public domain	https://commons.wikimedia.org/wiki/File:Muhammad_Ali%2C_gtfy.00140.jpg
36159	36159.webp	LeBron James	Erik Drost	CC BY 2.0	https://commons.wikimedia.org/wiki/File:LeBron_James_(51959977144)_(cropped2).jpg
38136	38136.webp	Marcelo Vieira	Granada	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:20180610_FIFA_Friendly_Match_Austria_vs._Brazil_Marcelo_850_1622.jpg
