# InSight catalogue art credits — GENERATED by scripts/build-catalog-art.mjs countries, do not edit.
# One row per image under web/catalog-art/countries/:
# key<TAB>file<TAB>name<TAB>author<TAB>licence<TAB>source
# The key is the catalogue key (public/countries.txt); the file is what
# hosting serves; author and licence are what the licence requires shown
# beside the picture, which the app's credits sheet draws from this file.
# A takedown is `node scripts/build-catalog-art.mjs countries --remove <key>` (D420).
# 246 entries.
4	4.webp	Afghanistan	Original: Taliban Vector: Lexicon	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Taliban.svg
8	8.webp	Albania	Sadik Kaceli	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Albania.svg
10	10.webp	Antarctica	Antarctic_Treaty_flag.svg: Alakasam. derivative work: B1mbo (talk)	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Flag_of_the_Antarctic_Treaty.svg
12	12.webp	Algeria	Original: National Liberation Front of Algeria Vector: SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Algeria.svg
16	16.webp	American Samoa	by Tobias Jakobs	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_American_Samoa.svg
20	20.webp	Andorra	Original: Napoleon III Vector: HansenBCN	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Andorra.svg
24	24.webp	Angola	Original: Henrique de Carvalho Santos Vector: SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Angola.svg
28	28.webp	Antigua and Barbuda	Original: Sir Reginald Samuel Vector: David Benbennick	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Antigua_and_Barbuda.svg
31	31.webp	Azerbaijan	SKopp and others	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Azerbaijan.svg
32	32.webp	Argentina	Manuel Belgrano	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Argentina.svg
36	36.webp	Australia	Unknown (Vector graphics image by Ian Fieggen) (only minor code changes by uploader.)	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Australia_(converted).svg
40	40.webp	Austria	Bundesministerium für Landesverteidigung	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Austria.svg
44	44.webp	Bahamas	Government of Bahamas	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Bahamas.svg
48	48.webp	Bahrain	Source: Drawn by SKopp, rewritten by Zscout370	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Bahrain.svg
50	50.webp	Bangladesh	See File history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Bangladesh.svg
51	51.webp	Armenia	Original: Stepan Malkhasyants Vector: SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Armenia.svg
